T(BB)	T(equil)	error
4.000000e+00	4.000444e+00	-1.020839e-03
4.500000e+00	4.500162e+00	-3.729782e-04
5.000000e+00	5.001161e+00	-2.670461e-03
5.500000e+00	5.500005e+00	-1.210150e-05
6.000000e+00	6.000000e+00	-3.903352e-08
6.500000e+00	6.500000e+00	-3.386004e-07
7.000000e+00	6.999998e+00	4.567256e-06
7.500000e+00	7.500002e+00	-5.646846e-06
biggest error was 0.00267046
