Ca B      400.216A    0.424    0.0163
#
O  8      407.757A    0.517    0.0203
Ca B      407.757A    0.517    0.0203
#
O  8      409.821A    1.934    0.5289
Ca B      409.821A    1.934    0.5289
#
O  8      417.509A    0.618    0.0256
Ca B      417.509A    0.618    0.0256
#
O  8      430.484A    0.729    0.0330
Ca B      430.484A    0.729    0.0330
#
O  8      448.390A    0.852    0.0438
Ca B      448.390A    0.852    0.0438
#
O  8      474.330A    0.989    0.0601
Ca B      474.330A    0.989    0.0601
#
O  8      546.428A   -0.345    0.0028
Ca B      546.428A   -0.345    0.0028
#
O  8      549.683A   -0.290    0.0032
Ca B      549.683A   -0.290    0.0032
#
O  8      553.441A   -0.232    0.0036
Ca B      553.441A   -0.232    0.0036
#
O  8      557.812A   -0.171    0.0042
Ca B      557.812A   -0.171    0.0042
#
O  8      562.941A   -0.107    0.0048
Ca B      562.941A   -0.107    0.0048
#
O  8      569.020A   -0.039    0.0056
Ca B      569.020A   -0.039    0.0056
#
O  8      576.310A    0.033    0.0066
Ca B      576.310A    0.033    0.0066
#
O  8      583.790A    1.331    0.1319
Ca B      583.790A    1.331    0.1319
#
O  8      585.169A    0.109    0.0079
Ca B      585.169A    0.109    0.0079
#
O  8      596.103A    0.191    0.0096
Ca B      596.103A    0.191    0.0096
#
O  8      609.852A    0.279    0.0117
Ca B      609.852A    0.279    0.0117
#
O  8      627.538A    0.374    0.0146
Ca B      627.538A    0.374    0.0146
#
O  8      632.439A    2.265    1.1347
Ca B      632.439A    2.265    1.1347
#
O  8      650.937A    0.478    0.0185
Ca B      650.937A    0.478    0.0185
#
O  8      683.035A    0.592    0.0241
Ca B      683.035A    0.592    0.0241
#
O  8      729.240A    0.719    0.0323
Ca B      729.240A    0.719    0.0323
#
O  8      762.095A   -0.479    0.0020
Ca B      762.095A   -0.479    0.0020
#
O  8      768.444A   -0.423    0.0023
Ca B      768.444A   -0.423    0.0023
#
O  8      775.807A   -0.365    0.0027
Ca B      775.807A   -0.365    0.0027
#
O  8      784.422A   -0.303    0.0031
Ca B      784.422A   -0.303    0.0031
#
O  8      794.603A   -0.238    0.0036
Ca B      794.603A   -0.238    0.0036
#
O  8      800.431A    0.862    0.0448
Ca B      800.431A    0.862    0.0448
#
O  8      806.771A   -0.169    0.0042
Ca B      806.771A   -0.169    0.0042
#
O  8      821.504A   -0.096    0.0049
Ca B      821.504A   -0.096    0.0049
#
O  8      839.623A   -0.018    0.0059
Ca B      839.623A   -0.018    0.0059
#
O  8      862.317A    0.065    0.0072
Ca B      862.317A    0.065    0.0072
#
O  8      891.389A    0.155    0.0088
Ca B      891.389A    0.155    0.0088
#
O  8      981.981A    0.358    0.0140
Ca B      981.981A    0.358    0.0140
#
O  8      1024.55A   -0.598    0.0016
Ca B      1024.55A   -0.598    0.0016
#
O  8      1036.06A   -0.542    0.0018
Ca B      1036.06A   -0.542    0.0018
#
O  8      1049.49A   -0.482    0.0020
Ca B      1049.49A   -0.482    0.0020
#
O  8      1056.91A    0.475    0.0184
