C  6      711.730A   -0.353    0.0557
Ca B      711.730A   -0.353    0.0557
#
C  6      725.142A   -0.261    0.0689
Ca B      725.142A   -0.261    0.0689
#
C  6      728.812A    1.137    1.7229
Ca B      728.812A    1.137    1.7229
#
C  6      742.484A   -0.161    0.0867
Ca B      742.484A   -0.161    0.0867
#
C  6      765.559A   -0.052    0.1114
Ca B      765.559A   -0.052    0.1114
#
C  6      797.402A    0.068    0.1468
Ca B      797.402A    0.068    0.1468
#
C  6      843.532A    0.201    0.1998
Ca B      843.532A    0.201    0.1998
#
C  6      971.749A   -1.133    0.0093
Ca B      971.749A   -1.133    0.0093
#
C  6      977.539A   -1.079    0.0105
Ca B      977.539A   -1.079    0.0105
#
C  6      984.221A   -1.022    0.0119
Ca B      984.221A   -1.022    0.0119
#
C  6      991.994A   -0.962    0.0137
Ca B      991.994A   -0.962    0.0137
#
C  6      1001.12A   -0.899    0.0159
Ca B      1001.12A   -0.899    0.0159
#
C  6      1011.93A   -0.831    0.0185
Ca B      1011.93A   -0.831    0.0185
#
C  6      1024.89A   -0.760    0.0218
Ca B      1024.89A   -0.760    0.0218
#
C  6      1038.19A    0.527    0.4227
Ca B      1038.19A    0.527    0.4227
#
C  6      1040.65A   -0.684    0.0260
Ca B      1040.65A   -0.684    0.0260
#
C  6      1060.09A   -0.604    0.0313
Ca B      1060.09A   -0.604    0.0313
#
C  6      1084.54A   -0.517    0.0382
Ca B      1084.54A   -0.517    0.0382
#
C  6      1115.99A   -0.423    0.0474
Ca B      1115.99A   -0.423    0.0474
#
C  6      1124.71A    1.433    3.4053
Ca B      1124.71A    1.433    3.4053
#
C  6      1157.61A   -0.322    0.0599
Ca B      1157.61A   -0.322    0.0599
#
C  6      1214.69A   -0.211    0.0773
Ca B      1214.69A   -0.211    0.0773
#
C  6      1296.86A   -0.088    0.1025
Ca B      1296.86A   -0.088    0.1025
#
C  6      1355.29A   -1.285    0.0065
Ca B      1355.29A   -1.285    0.0065
#
C  6      1366.57A   -1.229    0.0074
Ca B      1366.57A   -1.229    0.0074
#
C  6      1379.67A   -1.171    0.0085
Ca B      1379.67A   -1.171    0.0085
#
C  6      1394.99A   -1.110    0.0098
Ca B      1394.99A   -1.110    0.0098
#
C  6      1413.10A   -1.045    0.0113
Ca B      1413.10A   -1.045    0.0113
#
C  6      1423.46A    0.048    0.1404
Ca B      1423.46A    0.048    0.1404
#
C  6      1434.73A   -0.977    0.0132
Ca B      1434.73A   -0.977    0.0132
#
C  6      1460.94A   -0.905    0.0156
Ca B      1460.94A   -0.905    0.0156
#
C  6      1493.16A   -0.829    0.0186
Ca B      1493.16A   -0.829    0.0186
#
C  6      1533.52A   -0.747    0.0225
Ca B      1533.52A   -0.747    0.0225
#
C  6      1585.22A   -0.659    0.0276
Ca B      1585.22A   -0.659    0.0276
#
C  6      1746.32A   -0.461    0.0434
Ca B      1746.32A   -0.461    0.0434
#
C  6      1822.03A   -1.419    0.0048
Ca B      1822.03A   -1.419    0.0048
#
C  6      1842.49A   -1.363    0.0055
Ca B      1842.49A   -1.363    0.0055
#
C  6      1866.38A   -1.304    0.0062
Ca B      1866.38A   -1.304    0.0062
#
C  6      1879.57A   -0.349    0.0562
Ca B      1879.57A   -0.349    0.0562
#
C  6      1894.52A   -1.242    0.0072
Ca B      1894.52A   -1.242    0.0072
#
C  6      1928.07A   -1.177    0.0084
Ca B      1928.07A   -1.177    0.0084
#
C  6      1968.58A   -1.108    0.0098
Ca B      1968.58A   -1.108    0.0098
#
C  6      2017.60A   -1.035    0.0116
Ca B      2017.60A   -1.035    0.0116
#
C  6      2079.60A   -0.957    0.0139
Ca B      2079.60A   -0.957    0.0139
#
C  6      2083.21A   -0.225    0.0748
Ca B      2083.21A   -0.225    0.0748
#
C  6      2158.76A   -0.875    0.0168
Ca B      2158.76A   -0.875    0.0168
#
C  6      2262.69A   -0.786    0.0206
Ca B      2262.69A   -0.786    0.0206
#
C  6      2384.48A   -1.541    0.0036
Ca B      2384.48A   -1.541    0.0036
#
C  6      2404.10A   -0.691    0.0256
Ca B      2404.10A   -0.691    0.0256
#
C  6      2419.66A   -1.483    0.0041
Ca B      2419.66A   -1.483    0.0041
#
C  6      2430.62A   -0.087    0.1028
Ca B      2430.62A   -0.087    0.1028
#
C  6      2461.03A   -1.424    0.0047
Ca B      2461.03A   -1.424    0.0047
#
C  6      2510.23A   -1.361    0.0055
Ca B      2510.23A   -1.361    0.0055
#
C  6      2569.49A   -1.295    0.0064
Ca B      2569.49A   -1.295    0.0064
#
C  6      2605.98A   -0.587    0.0325
Ca B      2605.98A   -0.587    0.0325
#
C  6      2641.97A   -1.226    0.0075
Ca B      2641.97A   -1.226    0.0075
#
C  6      2732.24A   -1.153    0.0088
Ca B      2732.24A   -1.153    0.0088
#
C  6      2847.18A   -1.075    0.0106
Ca B      2847.18A   -1.075    0.0106
#
C  6      2914.39A   -0.474    0.0422
Ca B      2914.39A   -0.474    0.0422
#
C  6      2997.67A   -0.992    0.0128
Ca B      2997.67A   -0.992    0.0128
#
C  6      3061.34A   -1.652    0.0028
Ca B      3061.34A   -1.652    0.0028
#
C  6      3119.57A   -1.594    0.0032
Ca B      3119.57A   -1.594    0.0032
#
C  6      3137.82A    0.066    0.1462
Ca B      3137.82A    0.066    0.1462
#
C  6      3201.86A   -0.903    0.0157
Ca B      3201.86A   -0.903    0.0157
#
C  6      3271.76A   -1.471    0.0043
Ca B      3271.76A   -1.471    0.0043
#
C  6      3373.16A   -1.404    0.0050
Ca B      3373.16A   -1.404    0.0050
#
C  6      3432.84A    0.571    0.4676
Ca B      3432.84A    0.571    0.4676
#
C  6      3437.07A   -0.351    0.0561
Ca B      3437.07A   -0.351    0.0561
#
C  6      3492.54A   -0.807    0.0196
Ca B      3492.54A   -0.807    0.0196
#
C  6      3499.17A   -1.334    0.0058
Ca B      3499.17A   -1.334    0.0058
#
C  6      3868.44A   -1.183    0.0083
Ca B      3868.44A   -1.183    0.0083
#
C  6      3875.22A   -1.754    0.0022
Ca B      3875.22A   -1.754    0.0022
#
C  6      3935.40A   -0.703    0.0249
Ca B      3935.40A   -0.703    0.0249
#
C  6      3969.00A   -1.696    0.0025
Ca B      3969.00A   -1.696    0.0025
#
C  6      4081.54A   -1.635    0.0029
Ca B      4081.54A   -1.635    0.0029
#
C  6      4151.60A   -1.099    0.0100
Ca B      4151.60A   -1.099    0.0100
#
C  6      4218.66A   -1.572    0.0034
Ca B      4218.66A   -1.572    0.0034
#
C  6      4388.76A   -1.506    0.0039
Ca B      4388.76A   -1.506    0.0039
#
C  6      4497.58A   -0.216    0.0764
Ca B      4497.58A   -0.216    0.0764
#
C  6      4553.80A   -1.011    0.0123
Ca B      4553.80A   -1.011    0.0123
#
C  6      4604.50A   -1.436    0.0046
Ca B      4604.50A   -1.436    0.0046
#
C  6      4683.91A   -0.592    0.0322
Ca B      4683.91A   -0.592    0.0322
#
C  6      4857.39A   -1.850    0.0018
Ca B      4857.39A   -1.850    0.0018
#
C  6      4885.80A   -1.362    0.0055
Ca B      4885.80A   -1.362    0.0055
#
C  6      5005.64A   -1.791    0.0020
Ca B      5005.64A   -1.791    0.0020
#
C  6      5185.98A   -1.730    0.0023
Ca B      5185.98A   -1.730    0.0023
#
C  6      5265.94A   -1.284    0.0065
Ca B      5265.94A   -1.284    0.0065
#
C  6      5409.37A   -1.667    0.0027
Ca B      5409.37A   -1.667    0.0027
#
C  6      5804.89A   -1.201    0.0079
Ca B      5804.89A   -1.201    0.0079
#
C  6      6050.87A   -1.939    0.0014
Ca B      6050.87A   -1.939    0.0014
#
C  6      6060.56A   -1.530    0.0037
Ca B      6060.56A   -1.530    0.0037
#
C  6      6196.41A   -0.814    0.0193
Ca B      6196.41A   -0.814    0.0193
#
C  6      6198.88A   -0.473    0.0423
Ca B      6198.88A   -0.473    0.0423
#
C  6      6282.65A   -1.880    0.0017
Ca B      6282.65A   -1.880    0.0017
#
C  6      6569.38A   -1.819    0.0019
Ca B      6569.38A   -1.819    0.0019
#
C  6      6622.74A   -1.113    0.0097
Ca B      6622.74A   -1.113    0.0097
#
C  6      6932.02A   -1.756    0.0022
Ca B      6932.02A   -1.756    0.0022
#
C  6      7260.99A   -1.380    0.0052
Ca B      7260.99A   -1.380    0.0052
#
C  6      7403.52A   -1.690    0.0026
Ca B      7403.52A   -1.690    0.0026
#
C  6      7516.20A   -2.023    0.0012
Ca B      7516.20A   -2.023    0.0012
#
C  6      7714.71A   -0.086    0.1031
Ca B      7714.71A   -0.086    0.1031
#
C  6      7877.18A   -1.965    0.0014
Ca B      7877.18A   -1.965    0.0014
#
C  6      7999.88A   -1.021    0.0120
Ca B      7999.88A   -1.021    0.0120
#
C  6      8038.89A   -1.620    0.0030
Ca B      8038.89A   -1.620    0.0030
#
C  6      8333.21A   -1.904    0.0016
Ca B      8333.21A   -1.904    0.0016
#
C  6      8937.25A   -1.548    0.0036
Ca B      8937.25A   -1.548    0.0036
#
C  6      9341.18A   -2.103    0.0010
Ca B      9341.18A   -2.103    0.0010
#
C  6      9722.76A   -1.775    0.0021
Ca B      9722.76A   -1.775    0.0021
#
C  6      9905.32A   -2.045    0.0011
Ca B      9905.32A   -2.045    0.0011
#
C  6      1.02969m   -1.472    0.0042
Ca B      1.02969m   -1.472    0.0042
#
C  6      1.06373m   -1.984    0.0013
Ca B      1.06373m   -1.984    0.0013
#
C  6      1.07779m   -0.927    0.0149
Ca B      1.07779m   -0.927    0.0149
#
C  6      1.07854m   -0.364    0.0543
Ca B      1.07854m   -0.364    0.0543
#
C  6      1.08488m   -1.707    0.0025
Ca B      1.08488m   -1.707    0.0025
#
C  6      1.16578m   -2.179    0.0008
Ca B      1.16578m   -2.179    0.0008
#
C  6      1.25498m   -2.121    0.0010
Ca B      1.25498m   -2.121    0.0010
#
C  6      1.25809m   -1.394    0.0051
Ca B      1.25809m   -1.394    0.0051
#
C  6      1.30109m   -1.857    0.0017
Ca B      1.30109m   -1.857    0.0017
#
C  6      1.37315m   -1.129    0.0093
Ca B      1.37315m   -1.129    0.0093
#
C  6      1.37485m   -2.062    0.0011
Ca B      1.37485m   -2.062    0.0011
#
C  6      1.46738m   -2.252    0.0007
Ca B      1.46738m   -2.252    0.0007
#
C  6      1.51097m   -1.791    0.0020
Ca B      1.51097m   -1.791    0.0020
#
C  6      1.54090m   -1.563    0.0034
Ca B      1.54090m   -1.563    0.0034
#
C  6      1.54387m   -2.000    0.0013
Ca B      1.54387m   -2.000    0.0013
#
C  6      1.61156m   -2.195    0.0008
Ca B      1.61156m   -2.195    0.0008
#
C  6      1.71785m   -1.317    0.0061
Ca B      1.71785m   -1.317    0.0061
#
C  6      1.79904m   -1.937    0.0015
Ca B      1.79904m   -1.937    0.0015
#
C  6      1.81473m   -2.136    0.0009
Ca B      1.81473m   -2.136    0.0009
#
C  6      1.86293m   -1.723    0.0024
Ca B      1.86293m   -1.723    0.0024
#
C  6      1.87358m   -2.322    0.0006
Ca B      1.87358m   -2.322    0.0006
#
C  6      1.91657m   -0.849    0.0178
Ca B      1.91657m   -0.849    0.0178
#
