He 2      6118.55A   -3.576    0.0022
Ca B      6118.55A   -3.576    0.0022
#
He 2      6170.98A   -3.505    0.0026
Ca B      6170.98A   -3.505    0.0026
#
He 2      6234.11A   -3.431    0.0031
Ca B      6234.11A   -3.431    0.0031
#
He 2      6311.15A   -3.352    0.0037
Ca B      6311.15A   -3.352    0.0037
#
He 2      6406.68A   -3.267    0.0045
Ca B      6406.68A   -3.267    0.0045
#
He 2      6527.40A   -3.177    0.0055
Ca B      6527.40A   -3.177    0.0055
#
He 2      6560.44A   -1.801    0.1301
Ca B      6560.44A   -1.801    0.1301
#
He 2      6683.51A   -3.080    0.0068
Ca B      6683.51A   -3.080    0.0068
#
He 2      6891.22A   -2.976    0.0087
Ca B      6891.22A   -2.976    0.0087
#
He 2      7177.86A   -2.862    0.0113
Ca B      7177.86A   -2.862    0.0113
#
He 2      7593.11A   -2.737    0.0151
Ca B      7593.11A   -2.737    0.0151
#
He 2      8237.17A   -2.600    0.0207
Ca B      8237.17A   -2.600    0.0207
#
He 2      8747.27A   -4.100    0.0007
Ca B      8747.27A   -4.100    0.0007
#
He 2      8799.39A   -4.045    0.0007
Ca B      8799.39A   -4.045    0.0007
#
He 2      8859.54A   -3.986    0.0008
Ca B      8859.54A   -3.986    0.0008
#
He 2      8929.50A   -3.926    0.0010
Ca B      8929.50A   -3.926    0.0010
#
He 2      9011.61A   -3.862    0.0011
Ca B      9011.61A   -3.862    0.0011
#
He 2      9108.94A   -3.795    0.0013
Ca B      9108.94A   -3.795    0.0013
#
He 2      9225.64A   -3.725    0.0016
Ca B      9225.64A   -3.725    0.0016
#
He 2      9345.38A   -2.447    0.0294
Ca B      9345.38A   -2.447    0.0294
#
He 2      9367.45A   -3.650    0.0018
Ca B      9367.45A   -3.650    0.0018
#
He 2      9542.48A   -3.571    0.0022
Ca B      9542.48A   -3.571    0.0022
#
He 2      9762.58A   -3.487    0.0027
Ca B      9762.58A   -3.487    0.0027
#
He 2      1.00457m   -3.397    0.0033
Ca B      1.00457m   -3.397    0.0033
#
He 2      1.01242m   -1.582    0.2156
Ca B      1.01242m   -1.582    0.2156
#
He 2      1.04203m   -3.300    0.0041
Ca B      1.04203m   -3.300    0.0041
#
He 2      1.09341m   -3.196    0.0052
Ca B      1.09341m   -3.196    0.0052
#
He 2      1.16270m   -2.278    0.0434
Ca B      1.16270m   -2.278    0.0434
#
He 2      1.16738m   -3.083    0.0068
Ca B      1.16738m   -3.083    0.0068
#
He 2      1.21997m   -4.287    0.0004
Ca B      1.21997m   -4.287    0.0004
#
He 2      1.23013m   -4.232    0.0005
Ca B      1.23013m   -4.232    0.0005
#
He 2      1.24192m   -4.174    0.0006
Ca B      1.24192m   -4.174    0.0006
#
He 2      1.25571m   -4.113    0.0006
Ca B      1.25571m   -4.113    0.0006
#
He 2      1.27201m   -4.049    0.0007
Ca B      1.27201m   -4.049    0.0007
#
He 2      1.28134m   -2.959    0.0090
Ca B      1.28134m   -2.959    0.0090
#
He 2      1.29149m   -3.982    0.0009
Ca B      1.29149m   -3.982    0.0009
#
He 2      1.31507m   -3.912    0.0010
Ca B      1.31507m   -3.912    0.0010
#
He 2      1.34408m   -3.837    0.0012
Ca B      1.34408m   -3.837    0.0012
#
He 2      1.38041m   -3.758    0.0014
Ca B      1.38041m   -3.758    0.0014
#
He 2      1.42695m   -3.674    0.0017
Ca B      1.42695m   -3.674    0.0017
#
He 2      1.47610m   -2.824    0.0123
Ca B      1.47610m   -2.824    0.0123
#
He 2      1.48825m   -3.585    0.0021
Ca B      1.48825m   -3.585    0.0021
#
He 2      1.57197m   -3.488    0.0027
Ca B      1.57197m   -3.488    0.0027
#
He 2      1.64012m   -4.451    0.0003
Ca B      1.64012m   -4.451    0.0003
#
He 2      1.65853m   -4.395    0.0003
Ca B      1.65853m   -4.395    0.0003
#
He 2      1.68003m   -4.337    0.0004
Ca B      1.68003m   -4.337    0.0004
#
He 2      1.69191m   -3.385    0.0034
Ca B      1.69191m   -3.385    0.0034
#
He 2      1.70537m   -4.276    0.0004
Ca B      1.70537m   -4.276    0.0004
#
He 2      1.73557m   -4.213    0.0005
Ca B      1.73557m   -4.213    0.0005
#
He 2      1.77204m   -4.146    0.0006
Ca B      1.77204m   -4.146    0.0006
#
He 2      1.81674m   -4.076    0.0007
Ca B      1.81674m   -4.076    0.0007
#
He 2      1.86377m   -2.102    0.0651
Ca B      1.86377m   -2.102    0.0651
#
He 2      1.87257m   -4.001    0.0008
Ca B      1.87257m   -4.001    0.0008
#
He 2      1.87442m   -2.678    0.0173
Ca B      1.87442m   -2.678    0.0173
#
He 2      1.87582m   -3.273    0.0044
Ca B      1.87582m   -3.273    0.0044
#
He 2      1.94384m   -3.923    0.0010
Ca B      1.94384m   -3.923    0.0010
#
He 2      2.03741m   -3.839    0.0012
Ca B      2.03741m   -3.839    0.0012
#
He 2      2.14706m   -4.596    0.0002
Ca B      2.14706m   -4.596    0.0002
#
He 2      2.16473m   -3.750    0.0015
Ca B      2.16473m   -3.750    0.0015
#
He 2      2.17874m   -4.540    0.0002
Ca B      2.17874m   -4.540    0.0002
#
He 2      2.18861m   -3.152    0.0058
Ca B      2.18861m   -3.152    0.0058
#
He 2      2.21599m   -4.482    0.0003
Ca B      2.21599m   -4.482    0.0003
#
He 2      2.26028m   -4.422    0.0003
Ca B      2.26028m   -4.422    0.0003
#
He 2      2.31364m   -4.358    0.0004
Ca B      2.31364m   -4.358    0.0004
#
He 2      2.34649m   -3.654    0.0018
Ca B      2.34649m   -3.654    0.0018
#
He 2      2.37890m   -4.291    0.0004
Ca B      2.37890m   -4.291    0.0004
#
He 2      2.46017m   -4.221    0.0005
Ca B      2.46017m   -4.221    0.0005
#
He 2      2.56367m   -4.147    0.0006
Ca B      2.56367m   -4.147    0.0006
#
He 2      2.62419m   -3.552    0.0023
Ca B      2.62419m   -3.552    0.0023
#
He 2      2.69916m   -4.069    0.0007
Ca B      2.69916m   -4.069    0.0007
#
He 2      2.75650m   -4.727    0.0002
Ca B      2.75650m   -4.727    0.0002
#
He 2      2.80893m   -4.671    0.0002
Ca B      2.80893m   -4.671    0.0002
#
He 2      2.82536m   -3.024    0.0078
Ca B      2.82536m   -3.024    0.0078
#
He 2      2.87115m   -4.613    0.0002
Ca B      2.87115m   -4.613    0.0002
#
He 2      2.88302m   -3.986    0.0009
Ca B      2.88302m   -3.986    0.0009
#
He 2      2.94596m   -4.553    0.0002
Ca B      2.94596m   -4.553    0.0002
#
He 2      3.03725m   -4.489    0.0003
Ca B      3.03725m   -4.489    0.0003
#
He 2      3.09099m   -2.534    0.0241
Ca B      3.09099m   -2.534    0.0241
#
He 2      3.09480m   -3.443    0.0030
Ca B      3.09480m   -3.443    0.0030
#
